Campo de estudio;Países;Periodo;Total
01 Educación;España;2020;8,8
01 Educación;España;2019;8,6
01 Educación;España;2018;9
01 Educación;España;2017;8,9
01 Educación;España;2016;9
01 Educación;España;2015;9
01 Educación;España;2014;9,2
01 Educación;UE-28;2020;..
01 Educación;UE-28;2019;5,7
01 Educación;UE-28;2018;5,8
01 Educación;UE-28;2017;..
01 Educación;UE-28;2016;..
01 Educación;UE-28;2015;..
01 Educación;UE-28;2014;..
01 Educación;UE27_2020;2020;..
01 Educación;UE27_2020;2019;5,9
01 Educación;UE27_2020;2018;5,9
01 Educación;UE27_2020;2017;..
01 Educación;UE27_2020;2016;..
01 Educación;UE27_2020;2015;..
01 Educación;UE27_2020;2014;..
02 Artes, humanidades y lenguas;España;2020;6,4
02 Artes, humanidades y lenguas;España;2019;6,5
02 Artes, humanidades y lenguas;España;2018;6,4
02 Artes, humanidades y lenguas;España;2017;6,4
02 Artes, humanidades y lenguas;España;2016;6,5
02 Artes, humanidades y lenguas;España;2015;6,4
02 Artes, humanidades y lenguas;España;2014;6,4
02 Artes, humanidades y lenguas;UE-28;2020;..
02 Artes, humanidades y lenguas;UE-28;2019;7,9
02 Artes, humanidades y lenguas;UE-28;2018;7,8
02 Artes, humanidades y lenguas;UE-28;2017;..
02 Artes, humanidades y lenguas;UE-28;2016;..
02 Artes, humanidades y lenguas;UE-28;2015;..
02 Artes, humanidades y lenguas;UE-28;2014;..
02 Artes, humanidades y lenguas;UE27_2020;2020;..
02 Artes, humanidades y lenguas;UE27_2020;2019;7,7
02 Artes, humanidades y lenguas;UE27_2020;2018;7,6
02 Artes, humanidades y lenguas;UE27_2020;2017;..
02 Artes, humanidades y lenguas;UE27_2020;2016;..
02 Artes, humanidades y lenguas;UE27_2020;2015;..
02 Artes, humanidades y lenguas;UE27_2020;2014;..
03 Ciencias sociales, periodismo y documentación;España;2020;6,1
03 Ciencias sociales, periodismo y documentación;España;2019;6,1
03 Ciencias sociales, periodismo y documentación;España;2018;5,9
03 Ciencias sociales, periodismo y documentación;España;2017;5,8
03 Ciencias sociales, periodismo y documentación;España;2016;5,9
03 Ciencias sociales, periodismo y documentación;España;2015;5,7
03 Ciencias sociales, periodismo y documentación;España;2014;5,7
03 Ciencias sociales, periodismo y documentación;UE-28;2020;..
03 Ciencias sociales, periodismo y documentación;UE-28;2019;6,2
03 Ciencias sociales, periodismo y documentación;UE-28;2018;6,3
03 Ciencias sociales, periodismo y documentación;UE-28;2017;..
03 Ciencias sociales, periodismo y documentación;UE-28;2016;..
03 Ciencias sociales, periodismo y documentación;UE-28;2015;..
03 Ciencias sociales, periodismo y documentación;UE-28;2014;..
03 Ciencias sociales, periodismo y documentación;UE27_2020;2020;..
03 Ciencias sociales, periodismo y documentación;UE27_2020;2019;6
03 Ciencias sociales, periodismo y documentación;UE27_2020;2018;6,2
03 Ciencias sociales, periodismo y documentación;UE27_2020;2017;..
03 Ciencias sociales, periodismo y documentación;UE27_2020;2016;..
03 Ciencias sociales, periodismo y documentación;UE27_2020;2015;..
03 Ciencias sociales, periodismo y documentación;UE27_2020;2014;..
04 Negocios, administración y derecho;España;2020;11
04 Negocios, administración y derecho;España;2019;11,1
04 Negocios, administración y derecho;España;2018;11,1
04 Negocios, administración y derecho;España;2017;11,2
04 Negocios, administración y derecho;España;2016;11,2
04 Negocios, administración y derecho;España;2015;11,5
04 Negocios, administración y derecho;España;2014;11,6
04 Negocios, administración y derecho;UE-28;2020;..
04 Negocios, administración y derecho;UE-28;2019;12,1
04 Negocios, administración y derecho;UE-28;2018;11,9
04 Negocios, administración y derecho;UE-28;2017;..
04 Negocios, administración y derecho;UE-28;2016;..
04 Negocios, administración y derecho;UE-28;2015;..
04 Negocios, administración y derecho;UE-28;2014;..
04 Negocios, administración y derecho;UE27_2020;2020;..
04 Negocios, administración y derecho;UE27_2020;2019;12,1
04 Negocios, administración y derecho;UE27_2020;2018;12,1
04 Negocios, administración y derecho;UE27_2020;2017;..
04 Negocios, administración y derecho;UE27_2020;2016;..
04 Negocios, administración y derecho;UE27_2020;2015;..
04 Negocios, administración y derecho;UE27_2020;2014;..
Ciencias naturales, matemáticas y estadística;España;2020;2,6
Ciencias naturales, matemáticas y estadística;España;2019;2,7
Ciencias naturales, matemáticas y estadística;España;2018;2,6
Ciencias naturales, matemáticas y estadística;España;2017;2,6
Ciencias naturales, matemáticas y estadística;España;2016;2,5
Ciencias naturales, matemáticas y estadística;España;2015;2,5
Ciencias naturales, matemáticas y estadística;España;2014;2,3
Ciencias naturales, matemáticas y estadística;UE-28;2020;..
Ciencias naturales, matemáticas y estadística;UE-28;2019;4,1
Ciencias naturales, matemáticas y estadística;UE-28;2018;4,1
Ciencias naturales, matemáticas y estadística;UE-28;2017;..
Ciencias naturales, matemáticas y estadística;UE-28;2016;..
Ciencias naturales, matemáticas y estadística;UE-28;2015;..
Ciencias naturales, matemáticas y estadística;UE-28;2014;..
Ciencias naturales, matemáticas y estadística;UE27_2020;2020;..
Ciencias naturales, matemáticas y estadística;UE27_2020;2019;3,5
Ciencias naturales, matemáticas y estadística;UE27_2020;2018;3,5
Ciencias naturales, matemáticas y estadística;UE27_2020;2017;..
Ciencias naturales, matemáticas y estadística;UE27_2020;2016;..
Ciencias naturales, matemáticas y estadística;UE27_2020;2015;..
Ciencias naturales, matemáticas y estadística;UE27_2020;2014;..
06 Tecnologías de la información y las comunicaciones (TIC);España;2020;0,8
06 Tecnologías de la información y las comunicaciones (TIC);España;2019;0,7
06 Tecnologías de la información y las comunicaciones (TIC);España;2018;0,6
06 Tecnologías de la información y las comunicaciones (TIC);España;2017;0,6
06 Tecnologías de la información y las comunicaciones (TIC);España;2016;0,6
06 Tecnologías de la información y las comunicaciones (TIC);España;2015;0,6
06 Tecnologías de la información y las comunicaciones (TIC);España;2014;0,7
06 Tecnologías de la información y las comunicaciones (TIC);UE-28;2020;..
06 Tecnologías de la información y las comunicaciones (TIC);UE-28;2019;0,9
06 Tecnologías de la información y las comunicaciones (TIC);UE-28;2018;0,9
06 Tecnologías de la información y las comunicaciones (TIC);UE-28;2017;..
06 Tecnologías de la información y las comunicaciones (TIC);UE-28;2016;..
06 Tecnologías de la información y las comunicaciones (TIC);UE-28;2015;..
06 Tecnologías de la información y las comunicaciones (TIC);UE-28;2014;..
06 Tecnologías de la información y las comunicaciones (TIC);UE27_2020;2020;..
06 Tecnologías de la información y las comunicaciones (TIC);UE27_2020;2019;0,9
06 Tecnologías de la información y las comunicaciones (TIC);UE27_2020;2018;0,9
06 Tecnologías de la información y las comunicaciones (TIC);UE27_2020;2017;..
06 Tecnologías de la información y las comunicaciones (TIC);UE27_2020;2016;..
06 Tecnologías de la información y las comunicaciones (TIC);UE27_2020;2015;..
06 Tecnologías de la información y las comunicaciones (TIC);UE27_2020;2014;..
0732 Construcción e ingeniería civil;España;2020;3,4
0732 Construcción e ingeniería civil;España;2019;3,5
0732 Construcción e ingeniería civil;España;2018;3,5
0732 Construcción e ingeniería civil;España;2017;3,7
0732 Construcción e ingeniería civil;España;2016;3,9
0732 Construcción e ingeniería civil;España;2015;4,1
0732 Construcción e ingeniería civil;España;2014;4,4
0732 Construcción e ingeniería civil;UE-28;2020;..
0732 Construcción e ingeniería civil;UE-28;2019;4,1
0732 Construcción e ingeniería civil;UE-28;2018;3,9
0732 Construcción e ingeniería civil;UE-28;2017;..
0732 Construcción e ingeniería civil;UE-28;2016;..
0732 Construcción e ingeniería civil;UE-28;2015;..
0732 Construcción e ingeniería civil;UE-28;2014;..
0732 Construcción e ingeniería civil;UE27_2020;2020;..
0732 Construcción e ingeniería civil;UE27_2020;2019;4,4
0732 Construcción e ingeniería civil;UE27_2020;2018;4,2
0732 Construcción e ingeniería civil;UE27_2020;2017;..
0732 Construcción e ingeniería civil;UE27_2020;2016;..
0732 Construcción e ingeniería civil;UE27_2020;2015;..
0732 Construcción e ingeniería civil;UE27_2020;2014;..
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;España;2020;0,6
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;España;2019;0,6
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;España;2018;0,6
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;España;2017;0,7
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;España;2016;0,7
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;España;2015;0,6
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;España;2014;0,7
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;UE-28;2020;..
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;UE-28;2019;1
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;UE-28;2018;1
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;UE-28;2017;..
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;UE-28;2016;..
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;UE-28;2015;..
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;UE-28;2014;..
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;UE27_2020;2020;..
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;UE27_2020;2019;1
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;UE27_2020;2018;1
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;UE27_2020;2017;..
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;UE27_2020;2016;..
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;UE27_2020;2015;..
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;UE27_2020;2014;..
09 Salud y servicios sociales;España;2020;11,6
09 Salud y servicios sociales;España;2019;11,3
09 Salud y servicios sociales;España;2018;11
09 Salud y servicios sociales;España;2017;10,7
09 Salud y servicios sociales;España;2016;10,3
09 Salud y servicios sociales;España;2015;9,9
09 Salud y servicios sociales;España;2014;9,8
09 Salud y servicios sociales;UE-28;2020;..
09 Salud y servicios sociales;UE-28;2019;9,8
09 Salud y servicios sociales;UE-28;2018;9,8
09 Salud y servicios sociales;UE-28;2017;..
09 Salud y servicios sociales;UE-28;2016;..
09 Salud y servicios sociales;UE-28;2015;..
09 Salud y servicios sociales;UE-28;2014;..
09 Salud y servicios sociales;UE27_2020;2020;..
09 Salud y servicios sociales;UE27_2020;2019;9,5
09 Salud y servicios sociales;UE27_2020;2018;9,6
09 Salud y servicios sociales;UE27_2020;2017;..
09 Salud y servicios sociales;UE27_2020;2016;..
09 Salud y servicios sociales;UE27_2020;2015;..
09 Salud y servicios sociales;UE27_2020;2014;..
10 Servicios;España;2020;2,7
10 Servicios;España;2019;2,7
10 Servicios;España;2018;2,7
10 Servicios;España;2017;2,7
10 Servicios;España;2016;2,7
10 Servicios;España;2015;2,7
10 Servicios;España;2014;2,6
10 Servicios;UE-28;2020;..
10 Servicios;UE-28;2019;2,1
10 Servicios;UE-28;2018;1,7
10 Servicios;UE-28;2017;..
10 Servicios;UE-28;2016;..
10 Servicios;UE-28;2015;..
10 Servicios;UE-28;2014;..
10 Servicios;UE27_2020;2020;..
10 Servicios;UE27_2020;2019;2,4
10 Servicios;UE27_2020;2018;1,9
10 Servicios;UE27_2020;2017;..
10 Servicios;UE27_2020;2016;..
10 Servicios;UE27_2020;2015;..
10 Servicios;UE27_2020;2014;..
